,Year,State,FIPS,18_or_Older_AMI_Total,Tot_Cases,Toth_Deaths,<High School,High School,Some college or associates degree,Bachelors degree or higher,Employed_2017,Unemployed_2017,Employed_2018,Unemployed_2018,Employed_2019,Unemployed_2019,Employed_2020,Unemployed_2020,Employed_2021,Unemployed_2021,Median_Household_Income_2020
131,2018,Nevada,32,392000,0,0,273999,584698,702126,532997,1372022,72240,1427371,65460,1479777,61995,1299640,203208,1395939,108822,64608
132,2019,Nevada,32,404000,0,0,273999,584698,702126,532997,1372022,72240,1427371,65460,1479777,61995,1299640,203208,1395939,108822,64608
133,2020,Nevada,32,474000,224731,3125,273999,584698,702126,532997,1372022,72240,1427371,65460,1479777,61995,1299640,203208,1395939,108822,64608
134,2021,Nevada,32,512000,501181,8420,273999,584698,702126,532997,1372022,72240,1427371,65460,1479777,61995,1299640,203208,1395939,108822,64608
135,2017,New Hampshire,33,217000,0,0,65455,264953,276069,364685,736918,21215,747415,20214,756267,20204,708566,51204,728940,26482,81415
136,2018,New Hampshire,33,83000,0,0,65455,264953,276069,364685,736918,21215,747415,20214,756267,20204,708566,51204,728940,26482,81415
137,2019,New Hampshire,33,204000,0,0,65455,264953,276069,364685,736918,21215,747415,20214,756267,20204,708566,51204,728940,26482,81415
138,2020,New Hampshire,33,221000,44028,758,65455,264953,276069,364685,736918,21215,747415,20214,756267,20204,708566,51204,728940,26482,81415
139,2021,New Hampshire,33,243000,198667,1961,65455,264953,276069,364685,736918,21215,747415,20214,756267,20204,708566,51204,728940,26482,81415
140,2017,New Jersey,34,1106000,0,0,600761,1649853,1405825,2513062,4406151,208802,4426617,183156,4528168,158533,4203278,439667,4365397,295690,87095
141,2018,New Jersey,34,441000,0,0,600761,1649853,1405825,2513062,4406151,208802,4426617,183156,4528168,158533,4203278,439667,4365397,295690,87095
142,2019,New Jersey,34,1062000,0,0,600761,1649853,1405825,2513062,4406151,208802,4426617,183156,4528168,158533,4203278,439667,4365397,295690,87095
143,2020,New Jersey,34,1112000,527784,19042,600761,1649853,1405825,2513062,4406151,208802,4426617,183156,4528168,158533,4203278,439667,4365397,295690,87095
144,2021,New Jersey,34,1122000,1564253,29037,600761,1649853,1405825,2513062,4406151,208802,4426617,183156,4528168,158533,4203278,439667,4365397,295690,87095
145,2017,New Mexico,35,309000,0,0,191076,370125,455809,398288,890988,57593,903757,46609,916149,47655,860105,75601,879329,64027,52285
146,2018,New Mexico,35,178000,0,0,191076,370125,455809,398288,890988,57593,903757,46609,916149,47655,860105,75601,879329,64027,52285
147,2019,New Mexico,35,298000,0,0,191076,370125,455809,398288,890988,57593,903757,46609,916149,47655,860105,75601,879329,64027,52285
148,2020,New Mexico,35,300000,142864,2385,191076,370125,455809,398288,890988,57593,903757,46609,916149,47655,860105,75601,879329,64027,52285
149,2021,New Mexico,35,338000,350043,5855,191076,370125,455809,398288,890988,57593,903757,46609,916149,47655,860105,75601,879329,64027,52285
150,2017,North Carolina,37,1429000,0,0,815216,1806403,2201264,2273890,4646212,219688,4719018,196945,4808270,191540,4505462,343431,4721198,238474,59616
151,2018,North Carolina,37,89000,0,0,815216,1806403,2201264,2273890,4646212,219688,4719018,196945,4808270,191540,4505462,343431,4721198,238474,59616
152,2019,North Carolina,37,1440000,0,0,815216,1806403,2201264,2273890,4646212,219688,4719018,196945,4808270,191540,4505462,343431,4721198,238474,59616
153,2020,North Carolina,37,1469000,547683,7925,815216,1806403,2201264,2273890,4646212,219688,4719018,196945,4808270,191540,4505462,343431,4721198,238474,59616
154,2021,North Carolina,37,1532000,1695105,19828,815216,1806403,2201264,2273890,4646212,219688,4719018,196945,4808270,191540,4505462,343431,4721198,238474,59616
155,2017,North Dakota,38,89000,0,0,34308,129837,180727,152653,404901,10864,403002,9762,406304,8865,390504,21046,391255,14932,64289
156,2018,North Dakota,38,454000,0,0,34308,129837,180727,152653,404901,10864,403002,9762,406304,8865,390504,21046,391255,14932,64289
157,2019,North Dakota,38,97000,0,0,34308,129837,180727,152653,404901,10864,403002,9762,406304,8865,390504,21046,391255,14932,64289
158,2020,North Dakota,38,108000,92770,1309,34308,129837,180727,152653,404901,10864,403002,9762,406304,8865,390504,21046,391255,14932,64289
159,2021,North Dakota,38,116000,174626,2012,34308,129837,180727,152653,404901,10864,403002,9762,406304,8865,390504,21046,391255,14932,64289
160,2017,Ohio,39,1777000,0,0,738770,2629870,2330787,2315539,5529479,289496,5553767,261782,5626326,244922,5263034,471145,5441879,295003,60360
161,2018,Ohio,39,104000,0,0,738770,2629870,2330787,2315539,5529479,289496,5553767,261782,5626326,244922,5263034,471145,5441879,295003,60360
162,2019,Ohio,39,1741000,0,0,738770,2629870,2330787,2315539,5529479,289496,5553767,261782,5626326,244922,5263034,471145,5441879,295003,60360
163,2020,Ohio,39,1906000,700380,8962,738770,2629870,2330787,2315539,5529479,289496,5553767,261782,5626326,244922,5263034,471145,5441879,295003,60360
164,2021,Ohio,39,2112000,2016095,29447,738770,2629870,2330787,2315539,5529479,289496,5553767,261782,5626326,244922,5263034,471145,5441879,295003,60360
165,2017,Oklahoma,40,540000,0,0,299032,812618,817128,682902,1752733,73539,1773125,59895,1782686,57513,1721525,114336,1783080,71154,54512
166,2018,Oklahoma,40,2684000,0,0,299032,812618,817128,682902,1752733,73539,1773125,59895,1782686,57513,1721525,114336,1783080,71154,54512
167,2019,Oklahoma,40,545000,0,0,299032,812618,817128,682902,1752733,73539,1773125,59895,1782686,57513,1721525,114336,1783080,71154,54512
168,2020,Oklahoma,40,592000,325524,4564,299032,812618,817128,682902,1752733,73539,1773125,59895,1782686,57513,1721525,114336,1783080,71154,54512
169,2021,Oklahoma,40,657000,708938,11555,299032,812618,817128,682902,1752733,73539,1773125,59895,1782686,57513,1721525,114336,1783080,71154,54512
170,2017,Oregon,41,692000,0,0,260785,667341,1003660,1013044,1991503,84179,1996790,83409,2017379,77598,1944845,159713,2036138,112195,67832
171,2018,Oregon,41,807000,0,0,260785,667341,1003660,1013044,1991503,84179,1996790,83409,2017379,77598,1944845,159713,2036138,112195,67832
172,2019,Oregon,41,714000,0,0,260785,667341,1003660,1013044,1991503,84179,1996790,83409,2017379,77598,1944845,159713,2036138,112195,67832
173,2020,Oregon,41,731000,113909,1477,260785,667341,1003660,1013044,1991503,84179,1996790,83409,2017379,77598,1944845,159713,2036138,112195,67832
174,2021,Oregon,41,783000,421263,5655,260785,667341,1003660,1013044,1991503,84179,1996790,83409,2017379,77598,1944845,159713,2036138,112195,67832
175,2017,Pennsylvania,42,1731000,0,0,809967,3072381,2201133,2906517,6161913,323340,6210098,290051,6266508,294265,5893583,589187,5999442,406743,64898
176,2018,Pennsylvania,42,806000,0,0,809967,3072381,2201133,2906517,6161913,323340,6210098,290051,6266508,294265,5893583,589187,5999442,406743,64898
